stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
BOHRI_04,58D,48.549504,7.701742,Bohrie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOISF_01,59A,48.6033680809,7.7905619144,Bois Fleuri,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOISF_02,59B,48.6034204038,7.7905887365,Bois Fleuri,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BORIE_01,58A,48.5500006853,7.7032023668,Bohrie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BORIE_02,58B,48.5498169175,7.7027490735,Bohrie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOROU_01,60A,48.5870841596,7.6680359244,Boeuf Rouge,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOROU_02,60B,48.5870291584,7.6681150496,Boeuf Rouge,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOSCO_01,61A,48.5818206318,7.7028617263,Bosco,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOSCO_02,61B,48.5818135341,7.7030521631,Bosco,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOUGU_01,62A,48.5403959229,7.7690237761,Bouguer,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOUGU_02,62B,48.5408025952,7.7697533369,Bouguer,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOULO_01,739A,48.539912,7.787929,Boulogne,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOULO_02,739B,48.539756,7.787817,Boulogne,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOURG_01,63A,48.5478362659,7.7478986979,Bourgogne,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOURG_02,63B,48.5478735536,7.7481105924,Bourgogne,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOUVR_01,64A,48.6349692154,7.7313145995,Bouvreuils,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOUVR_02,64B,48.6348876782,7.7315466106,Bouvreuils,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRASS_01,795A,48.59323,7.714164,Brasseurs,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRASS_02,795B,48.593151,7.71405,Brasseurs,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BREME_01,65A,48.5986960487,7.7909776568,Brême,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BREME_02,65B,48.598811347,7.7910339832,Brême,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BROGL_01,67A,48.5848264013,7.7495133877,Broglie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BROGL_02,67B,48.5846631646,7.7490735054,Broglie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BROGL_03,67C,48.5847483426,7.7482701745,Broglie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUCH_01,68A,48.5700850638,7.7110545337,Bruche,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUCH_02,68B,48.570234149,7.7112717927,Bruche,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUNI_01,69C,48.5858475061,7.7614304423,Brant Université,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUNI_02,69A,48.5855911229,7.7616718411,Brant Université,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUNI_03,69B,48.5856345928,7.7613164485,Brant Université,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUXE_01,70A,48.5841858716,7.7751499414,Bruxelles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUXE_02,70B,48.5841539336,7.7752652764,Bruxelles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRXEL_01,70A,48.5841858716,7.7751499414,Bruxelles (Marché),http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRXEL_02,70B,48.5841539336,7.7752652764,Bruxelles (Marché),http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BUGAT_01,71A,48.5894101218,7.6878453791,Bugatti,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BUGAT_02,71B,48.5895032645,7.6885923743,Bugatti,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BUSSI_01,72A,48.6212921514,7.7978722751,Bussière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BUSSI_02,72B,48.6211370111,7.7973975241,Bussière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAHAU_01,74A,48.5961399059,7.7882149816,Carpe Haute,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAHAU_02,74B,48.5960813667,7.7882900834,Carpe Haute,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_03,75B,48.5293541432,7.7327790856,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_04,75C,48.5295699578,7.7329038084,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_06,75A,48.5291978324,7.7328810096,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_09,75A,48.529521111,7.733091563,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAILL_14,75I,48.529521111,7.733091563,Campus d'Illkirch,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAMPI_01,36A,48.5733036099,7.7183367312,Camping,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAMPI_02,36B,48.5733714926,7.7192486823,Camping,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CANAL_01,76A,48.678181,7.698208,Canal,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CANAL_02,76B,48.678474,7.697105,Canal,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAPIE_01,751A,48.5765973716,7.7878448367,Capitainerie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAPIE_02,751B,48.5765592177,7.7876906097,Capitainerie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAPUC_01,79A,48.578035663,7.7048707008,Capucins,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CAPUC_02,79B,48.5780587322,7.7058362961,Capucins,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CATHE_01,80A,48.5972122244,7.7048626542,Catherine,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CATHE_02,80B,48.596684494,7.7059744298,Catherine,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CERIS_01,81A,48.5347643301,7.6428835094,Cerisiers,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CERIS_02,81B,48.534535217,7.6426447928,Cerisiers,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CERVA_01,730A,48.593112,7.698508,Cervantès,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CERVA_02,730B,48.593286,7.69883,Cervantès,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CESPO_01,82A,48.4912515599,7.6837925613,Centre Sportif,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CESPO_02,82B,48.4912959997,7.6841573417,Centre Sportif,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CETRA_01,83A,48.5375269258,7.7281884849,Centre de Traumatologie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
CETRA_02,83B,48.537510942,7.7279685438,Centre de Traumatologie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
